ArrayTaskID  nom_var  annee
1  10m_u_component_of_wind  1990
2  10m_u_component_of_wind  1991
3  10m_u_component_of_wind  1992
4  10m_u_component_of_wind  1993
5  10m_u_component_of_wind  1994
6  10m_u_component_of_wind  1995
7  10m_u_component_of_wind  1996
8  10m_u_component_of_wind  1997
9  10m_u_component_of_wind  1998
10  10m_u_component_of_wind  1999
11  10m_u_component_of_wind  2000
12  10m_u_component_of_wind  2001
13  10m_u_component_of_wind  2002
14  10m_u_component_of_wind  2003
15  10m_u_component_of_wind  2004
16  10m_u_component_of_wind  2005
17  10m_u_component_of_wind  2006
18  10m_u_component_of_wind  2007
19  10m_u_component_of_wind  2008
20  10m_u_component_of_wind  2009
21  10m_u_component_of_wind  2010
22  10m_u_component_of_wind  2011
23  10m_u_component_of_wind  2012
24  10m_u_component_of_wind  2013
25  10m_u_component_of_wind  2014
26  10m_u_component_of_wind  2015
27  10m_u_component_of_wind  2016
28  10m_u_component_of_wind  2017
29  10m_u_component_of_wind  2018
30  10m_u_component_of_wind  2019
31  10m_u_component_of_wind  2020
32  10m_u_component_of_wind  2021
33  10m_v_component_of_wind  1990
34  10m_v_component_of_wind  1991
35  10m_v_component_of_wind  1992
36  10m_v_component_of_wind  1993
37  10m_v_component_of_wind  1994
38  10m_v_component_of_wind  1995
39  10m_v_component_of_wind  1996
40  10m_v_component_of_wind  1997
41  10m_v_component_of_wind  1998
42  10m_v_component_of_wind  1999
43  10m_v_component_of_wind  2000
44  10m_v_component_of_wind  2001
45  10m_v_component_of_wind  2002
46  10m_v_component_of_wind  2003
47  10m_v_component_of_wind  2004
48  10m_v_component_of_wind  2005
49  10m_v_component_of_wind  2006
50  10m_v_component_of_wind  2007
51  10m_v_component_of_wind  2008
52  10m_v_component_of_wind  2009
53  10m_v_component_of_wind  2010
54  10m_v_component_of_wind  2011
55  10m_v_component_of_wind  2012
56  10m_v_component_of_wind  2013
57  10m_v_component_of_wind  2014
58  10m_v_component_of_wind  2015
59  10m_v_component_of_wind  2016
60  10m_v_component_of_wind  2017
61  10m_v_component_of_wind  2018
62  10m_v_component_of_wind  2019
63  10m_v_component_of_wind  2020
64  10m_v_component_of_wind  2021
65  2m_dewpoint_temperature  1990
66  2m_dewpoint_temperature  1991
67  2m_dewpoint_temperature  1992
68  2m_dewpoint_temperature  1993
69  2m_dewpoint_temperature  1994
70  2m_dewpoint_temperature  1995
71  2m_dewpoint_temperature  1996
72  2m_dewpoint_temperature  1997
73  2m_dewpoint_temperature  1998
74  2m_dewpoint_temperature  1999
75  2m_dewpoint_temperature  2000
76  2m_dewpoint_temperature  2001
77  2m_dewpoint_temperature  2002
78  2m_dewpoint_temperature  2003
79  2m_dewpoint_temperature  2004
80  2m_dewpoint_temperature  2005
81  2m_dewpoint_temperature  2006
82  2m_dewpoint_temperature  2007
83  2m_dewpoint_temperature  2008
84  2m_dewpoint_temperature  2009
85  2m_dewpoint_temperature  2010
86  2m_dewpoint_temperature  2011
87  2m_dewpoint_temperature  2012
88  2m_dewpoint_temperature  2013
89  2m_dewpoint_temperature  2014
90  2m_dewpoint_temperature  2015
91  2m_dewpoint_temperature  2016
92  2m_dewpoint_temperature  2017
93  2m_dewpoint_temperature  2018
94  2m_dewpoint_temperature  2019
95  2m_dewpoint_temperature  2020
96  2m_dewpoint_temperature  2021
97  2m_temperature  1990
98  2m_temperature  1991
99  2m_temperature  1992
100  2m_temperature  1993
101  2m_temperature  1994
102  2m_temperature  1995
103  2m_temperature  1996
104  2m_temperature  1997
105  2m_temperature  1998
106  2m_temperature  1999
107  2m_temperature  2000
108  2m_temperature  2001
109  2m_temperature  2002
110  2m_temperature  2003
111  2m_temperature  2004
112  2m_temperature  2005
113  2m_temperature  2006
114  2m_temperature  2007
115  2m_temperature  2008
116  2m_temperature  2009
117  2m_temperature  2010
118  2m_temperature  2011
119  2m_temperature  2012
120  2m_temperature  2013
121  2m_temperature  2014
122  2m_temperature  2015
123  2m_temperature  2016
124  2m_temperature  2017
125  2m_temperature  2018
126  2m_temperature  2019
127  2m_temperature  2020
128  2m_temperature  2021
129  cloud_base_height  1990
130  cloud_base_height  1991
131  cloud_base_height  1992
132  cloud_base_height  1993
133  cloud_base_height  1994
134  cloud_base_height  1995
135  cloud_base_height  1996
136  cloud_base_height  1997
137  cloud_base_height  1998
138  cloud_base_height  1999
139  cloud_base_height  2000
140  cloud_base_height  2001
141  cloud_base_height  2002
142  cloud_base_height  2003
143  cloud_base_height  2004
144  cloud_base_height  2005
145  cloud_base_height  2006
146  cloud_base_height  2007
147  cloud_base_height  2008
148  cloud_base_height  2009
149  cloud_base_height  2010
150  cloud_base_height  2011
151  cloud_base_height  2012
152  cloud_base_height  2013
153  cloud_base_height  2014
154  cloud_base_height  2015
155  cloud_base_height  2016
156  cloud_base_height  2017
157  cloud_base_height  2018
158  cloud_base_height  2019
159  cloud_base_height  2020
160  cloud_base_height  2021
161  convective_available_potential_energy  1990
162  convective_available_potential_energy  1991
163  convective_available_potential_energy  1992
164  convective_available_potential_energy  1993
165  convective_available_potential_energy  1994
166  convective_available_potential_energy  1995
