Year	Month	Day
2002	2	26
2002	2	27
2002	2	28
2002	3	1
2002	3	2
2002	3	3
2002	10	23
2002	10	24
2002	10	25
2002	10	26
2002	10	27
2002	10	28
2002	10	29
2002	10	30
2002	10	31
2005	1	5
2005	1	6
2005	1	7
2005	1	8
2005	1	9
2005	1	10
2005	1	11
2005	1	12
2005	1	13
2005	1	14
2005	1	15
2005	1	16
2005	1	17
2005	1	18
2005	11	2
2005	11	3
2005	11	4
2005	11	5
2005	11	6
2005	11	7
2005	11	8
2005	11	9
2005	11	10
2005	11	11
2005	11	12
2005	11	13
2006	1	8
2006	1	9
2006	1	10
2006	1	11
2006	1	12
2006	1	13
2006	1	14
2006	1	15
2006	1	16
2006	12	30
2006	12	31
2007	1	1
2007	1	2
2007	1	3
2007	1	4
2007	3	15
2007	3	16
2007	3	17
2007	3	18
2007	3	19
2007	3	20
2007	1	14
2007	1	15
2007	1	16
2007	1	17
2007	1	18
2007	1	19
2007	1	20
2007	1	21
2007	11	6
2007	11	7
2007	11	8
2007	11	9
2007	11	10
2007	11	11
2007	12	3
2007	12	4
2007	12	5
2007	12	6
2007	12	7
2007	12	8
2007	12	9
2007	12	10
2008	1	7
2008	1	8
2008	1	9
2008	1	10
2008	1	20
2008	1	21
2008	1	22
2008	1	23
2008	1	24
2008	1	25
2008	1	26
2008	1	27
2008	2	5
2008	2	6
2008	2	7
2008	2	8
2008	2	9
2008	3	7
2008	3	8
2008	3	9
2008	3	10
2008	3	11
2008	3	12
2008	3	13
2008	3	14
2008	3	15
2008	3	16
2008	2	25
2008	2	26
2008	2	27
2008	2	28
2008	2	29
2008	3	1
2008	3	2
2008	3	3
2008	12	16
2008	12	17
2008	12	18
2008	12	19
2008	12	20
2008	12	21
2009	1	13
2009	1	14
2009	1	15
2009	1	16
2009	1	17
2009	1	18
2009	1	19
2009	1	22
2009	1	23
2009	1	24
2009	1	25
2009	1	26
2009	1	27
2010	2	23
2010	2	24
2010	2	25
2010	2	26
2010	2	27
2010	2	28
2010	3	1
2010	3	2
2010	3	3
2010	3	4
2010	3	5
2010	3	6
2010	3	7
2011	2	1
2011	2	2
2011	2	3
2011	2	4
2011	2	5
2011	11	23
2011	11	24
2011	11	25
2011	11	26
2011	11	27
2011	11	28
2011	12	6
2011	12	7
2011	12	8
2011	12	9
2011	12	10
2011	12	11
2011	12	12
2011	12	13
2011	12	14
2011	12	22
2011	12	23
2011	12	24
2011	12	25
2011	12	26
2012	1	2
2012	1	3
2012	1	4
2012	1	5
2012	1	6
2012	1	7
2013	10	26
2013	10	27
2013	10	28
2013	10	29
2013	10	30
2013	11	11
2013	11	12
2013	11	13
2013	11	14
2013	11	15
2013	11	16
2013	11	17
2013	11	18
2013	11	19
2013	12	2
2013	12	3
2013	12	4
2013	12	5
2013	12	6
2013	12	7
2013	12	8
2013	12	9
2013	12	12
2013	12	13
2013	12	14
2013	12	15
2013	12	16
2013	12	17
2013	12	18
2013	12	19
2013	12	20
2013	12	10
2013	12	11
2013	12	22
2013	12	23
2013	12	24
2013	12	25
2013	12	26
2013	12	27
2013	12	28
2013	12	29
2013	12	30
2014	2	9
2014	2	10
2014	2	11
2014	2	12
2014	2	13
2014	2	14
2014	2	15
2015	1	5
2015	1	6
2015	1	7
2015	1	8
2015	1	9
2015	1	10
2015	1	11
2015	1	12
2015	1	13
2015	1	14
2015	1	15
2015	1	16
2015	1	17
2015	1	18
2015	1	19
2015	2	6
2015	2	7
2015	2	8
2015	2	9
2015	2	10
2016	1	27
2016	1	28
2016	1	29
2016	1	30
2016	1	31
2016	2	1
2016	2	2
2016	2	3
2016	2	4
2016	2	5
2016	2	6
2016	2	7
2016	2	8
2016	2	9
2016	2	10
2016	12	19
2016	12	20
2016	12	21
2016	12	22
2016	12	23
2016	12	24
2016	12	25
2016	12	26
2016	12	27
2016	12	28
2016	12	29
2017	10	4
2017	10	5
2017	10	6
2017	10	7
2017	10	8
2017	10	9
2017	10	10
2017	10	11
2017	10	12
2017	10	13
2017	10	14
2017	10	15
2017	10	16
2017	10	17
2020	2	6
2020	2	7
2020	2	8
2020	2	9
2020	2	10
2020	2	11
2020	2	12
2020	2	13
2020	2	14
2020	2	15
2020	2	16
2020	2	17
2020	10	1
2020	10	2
2020	10	3
2020	10	4
2020	10	5
2020	10	6
2020	10	7
2020	10	29
2020	10	30
2020	10	31
2020	11	1
2020	11	2
2020	11	3
2020	11	4
2021	3	21
2021	3	22
2021	3	23
2021	3	24
2021	3	25
